"province","Pajak_Daerah_2010","Pajak_Daerah_2011","Pajak_Daerah_2012","Pajak_Daerah_2013","Pajak_Daerah_2014","Pajak_Daerah_2015","PDRB_2010","PDRB_2011","PDRB_2012","PDRB_2013","PDRB_2014","PDRB_2015","Growth_PD_2010_2010","Growth_PD_2010_2011","Growth_PD_2011_2012","Growth_PD_2012_2013","Growth_PD_2013_2014","Growth_PD_2014_2015","Means_Growth_PD","Growth_PDRB_2010_2010","Growth_PDRB_2010_2011","Growth_PDRB_2011_2012","Growth_PDRB_2012_2013","Growth_PDRB_2013_2014","Growth_PDRB_2014_2015","Means_Growth_PDRB","Growth_tdasar_takhir","Tax_Bouyancy","latitude","longitude"
"01 Provinsi Aceh",521326413,586181446,687476817,752838757,1030679175,1172602776,22450140,23428630,24294690,25218830,26065080,25808450,0,0.124403888586401,0.172805488285619,0.0950751187294218,0.369057006452711,0.137699106028799,0.17980812161659,0,0.0435850288684169,0.0369658831950481,0.0380387648494383,0.0335562752118159,-0.00984573997087291,0.0284600424307693,0.149589713026288,1.20200860058466,4.695135,96.7493993
"02 Provinsi Sumatera Utara",4475537801,5699605974,7471482414,8205144054,8717782024,8607934553,25412070,28518190,31109350,34544180,37913900,41019540,0,0.273501918077085,0.310877005898794,0.0981949229546831,0.0624776319131277,-0.0126003920145733,0.146490217365823,0,0.122230105615166,0.090859903801749,0.110411500079558,0.0975481253282029,0.0819129659570764,0.100592520156351,0.614175468586384,0.238515253145803,2.1153547,99.5450974
"03 Provinsi Sumatera Barat",1477012971,1917402413,1984888912,2146095920,2616591415,2840726865,21584910,24056680,26286160,28994480,32141090,34630860,0,0.298162203478713,0.0351968363774037,0.0812171437028008,0.219233208830666,0.0856593233147178,0.14389374314086,0,0.114513796907191,0.0926761298732826,0.103032165976316,0.108524450171205,0.0774637698970383,0.0992420625650066,0.604401408206011,0.238076452482079,-0.7399397,100.8000051
"04 Provinsi Riau",2514729204,3176853572,3898375410,4136214645,4943422622,5243679076,69701030,84811190,94996150,100691440,109784640,102887810,0,0.26329847641122,0.227118380387222,0.061009833580907,0.195156210758013,0.0607385766824288,0.161464295563958,0,0.216785318667457,0.120089813620113,0.0599528507207924,0.0903075772876026,-0.0628214475176127,0.0848628225556705,0.476130410124499,0.339117796575393,0.2933469,101.7068294
"05 Provinsi Jambi",1058151029,1371364103,1453576091,1604322332,2032428495,2062190831,29160160,32682040,35657570,39553640,43300300,45580040,0,0.296000349114625,0.0599490593491202,0.103707155018141,0.266845480151304,0.0146437309224992,0.148229154911138,0,0.120777115077558,0.0910448062605639,0.109263474768471,0.094723519756968,0.0526495197492858,0.0936916871225694,0.56309293227472,0.263241014786562,-1.4851831,102.4380581
"06 Provinsi Sumatera Selatan",2426459823,3183071815,3533163757,3881102622,4690097254,4730839883,25932000,29830370,32830490,35810160,38584880,41201280,0,0.311817234651159,0.109985561855757,0.0984779899631468,0.208444535172613,0.00868694758200424,0.147482453844936,0,0.150330479716181,0.100572671408367,0.0907592302155709,0.0774841553346871,0.0678089448509364,0.0973910963051484,0.588819990745025,0.250471207097314,-3.3194374,103.914399
"07 Provinsi Bengkulu",259804030,584064927,370247703,756834098,877271094,969402228,28906780,32465380,35288320,38314560,41948370,44425080,0,1.24809802603909,-0.366084683595459,1.04412908403648,0.159132624069483,0.1050201410147,0.438059038312858,0,0.123106067157947,0.0869523165907807,0.0857575537741666,0.0948414910676255,0.0590418650355187,0.0899398587252077,0.536839454273357,0.81599635575555,-3.5778471,102.3463875
"08 Provinsi Lampung",1786627283,2305902723,1465711124,3214443914,3985651872,4094874787,19722390,21981470,23910840,25768940,28755170,31153720,0,0.290645645536132,-0.364365586899912,1.19309512042702,0.239919556425025,0.0274040278749162,0.277339752672636,0,0.114543926978424,0.0877725648011712,0.077709524215795,0.115884859835135,0.0834128262848037,0.0958647404230658,0.579611801612279,0.47849224584657,-4.5585849,105.4068079
"09 Provinsi DKI Jakarta",20834745149,29186249154,34246493017,23370213238,59550949023,61659087403,111528860,125533820,138858290,155153920,174914360,195431680,0,0.400845028114051,0.173377669610776,-0.317588132998056,1.54815599740314,0.0354005841147181,0.368038229248926,0,0.125572519973754,0.106142472203905,0.117354390580498,0.127360236853829,0.1172992314639,0.118745770215177,0.752296939106165,0.489219362883767,-6.211544,106.845172
"10 Provinsi Jawa Barat",12107714857,14132785927,17239738721,11236145855,27064763085,28893551721,20974940,23251170,25272290,27767250,30107210,32648020,0,0.167254605341917,0.219840080366909,-0.348241522865247,1.40872301181071,0.0675708348252109,0.3030294018959,0,0.108521406974227,0.0869255181567207,0.098723146972435,0.0842704985189387,0.0843920775123301,0.0925665296269304,0.556525072300564,0.544502695347105,-7.090911,107.668887
