province,Pajak_Daerah_2010,Pajak_Daerah_2011,Pajak_Daerah_2012,Pajak_Daerah_2013,Pajak_Daerah_2014,Pajak_Daerah_2015,PDRB_2010,PDRB_2011,PDRB_2012,PDRB_2013,PDRB_2014,PDRB_2015
01 Provinsi Aceh,521326413,586181446,687476817,752838757,1030679175,1172602776,22450140,23428630,24294690,25218830,26065080,25808450
29 Provinsi Bangka Belitung,562561509,754319781,784818642,880772088,988609336,1007793423,28906780,32465380,35288320,38314560,41948370,44425080
22 Provinsi Bali,2173771521,2834959860,3505464894,4024637935,4837069566,5237500013,23992630,26433490,29443590,33135150,38099860,42480080
28 Provinsi Banten,4041583479,5370882159,6367544615,6564157592,9098169475,9478365605,25397650,27977010,30202440,32991610,36629180,40091230
07 Provinsi Bengkulu,259804030,584064927,370247703,756834098,877271094,969402228,28906780,32465380,35288320,38314560,41948370,44425080
12 Provinsi DI Yogyakarta,634710020,735226106,871630605,1063314118,1291664420,1397772209,18652970,20333340,21744880,23623920,25526400,27571530
09 Provinsi DKI Jakarta,20834745149,29186249154,34246493017,23370213238,59550949023,61659087403,111528860,125533820,138858290,155153920,174914360,195431680
30 Provinsi Gorontalo,120748493,144753702,318081397,384663460,507080130,446520161,14811950,16381670,18207860,20154350,22582500,25143390
10 Provinsi Jawa Barat,12107714857,14132785927,17239738721,11236145855,27064763085,28893551721,20974940,23251170,25272290,27767250,30107210,32648020
05 Provinsi Jambi,1058151029,1371364103,1453576091,1604322332,2032428495,2062190831,29160160,32682040,35657570,39553640,43300300,45580040
11 Provinsi Jawa Tengah,6969699996,8862046988,10863787157,12734359656,16032215444,19602995571,19209310,21162830,22865430,24952130,27517840,29933750
13 Provinsi Jawa Timur,11229493837,14179337271,15550004675,18002934973,22525642176,24826497157,26371100,29613050,32770380,36037180,39832680,43541400
14 Provinsi Kalimantan Barat,1141286816,1492946370,1966038469,2281798565,2736247794,3114643971,19510070,21548090,23427050,25561500,28062480,30619330
16 Provinsi Kalimantan Selatan,2086274706,2867520494,4218531282,4486167444,4951415507,4402463976,23418470,26594380,28197080,30058020,32599830,34351690
15 Provinsi Kalimantan Tengah,797092248,1224748595,1476903945,1899962290,2204325829,2241921133,25455050,28952940,31515970,34367340,36842260,40105060
31 Provinsi Kepulauan Riau,493750328,572738970,685601565,852180400,1006068104,951533884,65703340,72571750,80240250,87710290,94335330,101148530
08 Provinsi Lampung,1786627283,2305902723,1465711124,3214443914,3985651872,4094874787,19722390,21981470,23910840,25768940,28755170,31153720
25 Provinsi Maluku,243820323,337534570,311596629,356536978,601141290,705640789,11951840,13604410,15418360,17092990,19099980,20365600
27 Provinsi Maluku Utara,108079484,148353878,177165169,309506558,334089234,347992349,22707790,24867950,27373410,30121090,33800170,37786580
23 Provinsi Nusa Tenggara Barat,785215373,984986932,1135783505,1371069007,1868686597,2019095681,15527410,14879830,14853740,15627570,17097660,21851530
24 Provinsi Nusa Tenggara Timur,195007612,266729264,315288428,363720612,559803346,662667385,9316790,10194010,11268850,12379020,13599730,14867160
32 Provinsi Papua Barat,201852241,199506649,265935468,315806862,444889729,457397879,54049320,56305110,58762560,63984190,68463580,72159850
26 Provinsi Papua,500684826,534091605,709534137,867627290,1158882993,1292833985,38785110,37111150,37935010,40513650,43134250,47726070
04 Provinsi Riau,2514729204,3176853572,3898375410,4136214645,4943422622,5243679076,69701030,84811190,94996150,100691440,109784640,102887810
33 Provinsi Sulawesi Barat,78331570,96370375,119929079,132791433,196864079,228164430,14755470,17001850,18688250,20457330,23415050,25728070
21 Provinsi Sulawesi Tenggara,405859964,525433014,673865168,816214290,915676760,1032941836,21573110,24302100,27582580,29641120,32115830,35092250
03 Provinsi Sumatera Barat,1477012971,1917402413,1984888912,2146095920,2616591415,2840726865,21584910,24056680,26286160,28994480,32141090,34630860
06 Provinsi Sumatera Selatan,2426459823,3183071815,3533163757,3881102622,4690097254,4730839883,25932000,29830370,32830490,35810160,38584880,41201280
02 Provinsi Sumatera Utara,4475537801,5699605974,7471482414,8205144054,8717782024,8607934553,25412070,28518190,31109350,34544180,37913900,41019540
